Medicine,Possible_Conditions,Dosage_Adult,Side_Effects,Interactions,Warnings
"Paracetamol (Crocin, Calpol, Panadol)","Fever, Pain",500mg every 6h,"Nausea, Rash","Alcohol","Avoid overdose"
"Amoxicillin (Amoxil, Moxatag)","Infections",500mg 3x/day,"Diarrhea, Allergies","Other antibiotics","Complete full dose"
"Salbutamol (Ventolin, Proventil)","Asthma",2 puffs when needed,"Tremors, Fast heartbeat","Beta-blockers","Use only during attacks"
"Metformin (Glucophage, Fortamet)","Diabetes",500mg 2x/day,"Nausea, Diarrhea","Alcohol","Take with food"
"ORS Solution","Diarrhea, Dehydration",As directed,"None usually","None","Mix properly"
"Omeprazole (Prilosec, Losec)","Ulcers, GERD",20mg/day before meal,"Headache, Bloating","Some antibiotics","Not for long-term use"
"Ibuprofen (Advil, Motrin)","Pain, Inflammation",400mg every 8h,"Stomach upset, Bleeding","Alcohol, NSAIDs","Avoid in ulcers"
"Cetirizine (Zyrtec, Reactine)","Allergies",10mg daily,"Drowsiness","Alcohol","Avoid driving"
"Doxycycline (Vibramycin, Doxy)","Bacterial Infections",100mg 2x/day,"Nausea, Sun sensitivity","Antacids","Not in pregnancy"
"Zinc Sulphate","Diarrhea (children)",10–20mg/day,"Nausea","None","Combine with ORS"
"Loperamide (Imodium)","Diarrhea",2mg after first loose stool,"Constipation, Dizziness","Other antidiarrheals","Not for bloody diarrhea"
"Aspirin (Disprin, Ecotrin)","Pain, Inflammation",300mg daily,"Stomach upset, Bleeding","Alcohol, NSAIDs","Avoid in ulcers"
"Levothyroxine (Synthroid, Unithroid)","Thyroid issues",50–200mcg daily,"Heart palpitations, Weight loss","Some antidepressants","Take on empty stomach"
"Simvastatin (Zocor)","High cholesterol",10–40mg daily,"Muscle pain, Liver issues","Grapefruit juice","Regular blood tests"
"Hydrochlorothiazide (Microzide)","High blood pressure",12.5–50mg daily,"Dizziness, Electrolyte imbalance","NSAIDs","Monitor blood pressure"
"Atenolol (Tenormin)","High blood pressure",25–100mg daily,"Fatigue, Cold hands","NSAIDs","Monitor heart rate"
"Sertraline (Zoloft)","Depression",50–200mg daily,"Nausea, Drowsiness","Alcohol","Not for pregnancy"
"Fluoxetine (Prozac)","Depression",20–80mg daily,"Nausea, Insomnia","Alcohol","Not for pregnancy"
"Gabapentin (Neurontin)","Nerve pain",300–600mg 3x/day,"Dizziness, Fatigue","Alcohol","Not for pregnancy"
"Metoprolol (Lopressor, Toprol-XL)","High blood pressure",50–200mg daily,"Fatigue, Dizziness","NSAIDs","Monitor heart rate"
"Amlodipine (Norvasc)","High blood pressure",2.5–10mg daily,"Swelling, Dizziness","Grapefruit juice","Monitor blood pressure"
"Atorvastatin (Lipitor)","High cholesterol",10–80mg daily,"Muscle pain, Liver issues","Grapefruit juice","Regular blood tests"
"Warfarin (Coumadin)","Blood clots",2–10mg daily,"Bleeding, Bruising","NSAIDs, Alcohol","Regular blood tests"
"Oseltamivir (Tamiflu)","Influenza (Treatment & Prevention)",Treatment: 75 mg twice daily for 5 days; Prevention: 75 mg once daily for 10 days,"Nausea, vomiting, headache, diarrhea; rare behavioral changes/neuropsychiatric events","None significant generally noted; check for specific drug interactions with your doctor","Best started within 48 hours of symptom onset for treatment effectiveness. May cause rare behavioral changes (monitor closely, especially in children/teens)."
"Baloxavir (Xofluza)","Influenza (Treatment)","Single dose based on weight (e.g., 40 mg for 40kg to <80kg, 80 mg for >=80kg)","Diarrhea, bronchitis, nausea, headache","Avoid co-administration with polyvalent cation-containing products (dairy, antacids)","Not recommended for pregnant or breastfeeding women or hospitalized patients with severe illness."
"Zanamivir (Relenza)","Influenza (Treatment & Prevention)",Treatment: 2 inhalations (10 mg total) twice daily for 5 days; Prevention: 2 inhalations once daily for 10 days,"Cough, bronchospasm (difficulty breathing), nasal symptoms","None significant generally noted; check for specific drug interactions with your doctor","Not recommended for people with underlying respiratory disease (e.g., asthma, COPD) due to risk of bronchospasm. Not for children under 7."
"Peramivir (Rapivab)","Influenza (Treatment)",Single dose of 600 mg administered intravenously,"Diarrhea, elevated blood sugar, elevated white blood cell counts","None significant generally noted; check for specific drug interactions with your doctor","Used in a clinical setting. Monitor for hypersensitivity reactions."
"Metformin (Glucophage, Fortamet, Glumetza)","Type 2 Diabetes",Initial: 500 mg once or twice daily; gradually increased to 1000-2550 mg/day in divided doses,"Nausea, diarrhea, stomach upset, metallic taste, vitamin B12 deficiency (long-term use)","Alcohol (increased risk of lactic acidosis), certain contrast dyes (temporary kidney impairment), certain heart medications","Risk of lactic acidosis (rare but serious, especially with kidney problems). Monitor kidney function. Take with food to reduce GI side effects. Avoid excessive alcohol."
"Glyburide (DiaBeta, Glynase)","Type 2 Diabetes",Initial: 1.25-5 mg once daily; adjusted based on blood glucose response,"Hypoglycemia (low blood sugar), weight gain, nausea, skin rash","Alcohol (disulfiram-like reaction), certain antifungal medications, NSAIDs, sulfa-containing drugs","Risk of hypoglycemia; educate patients on recognizing and treating low blood sugar. Take with meals. May cause sensitivity to sunlight."
"Glipizide (Glucotrol)","Type 2 Diabetes",Initial: 5 mg once daily; adjusted based on blood glucose response,"Hypoglycemia, weight gain, nausea","Alcohol, certain antifungal medications, NSAIDs, sulfa-containing drugs","Risk of hypoglycemia; educate patients on recognizing and treating low blood sugar. Take about 30 minutes before a meal."
"Sitagliptin (Januvia)","Type 2 Diabetes",100 mg once daily,"Upper respiratory infection, sore throat, headache, diarrhea; rare pancreatitis, severe joint pain","Digoxin","Rare risk of pancreatitis (report severe abdominal pain). May cause severe joint pain."
"Empagliflozin (Jardiance)","Type 2 Diabetes, Heart Failure",10-25 mg once daily in the morning,"Urinary tract infections, yeast infections, increased urination, dehydration, risk of diabetic ketoacidosis (rare), Fournier's gangrene (rare)","Diuretics (increased risk of dehydration/hypotension), certain blood pressure medications","Risk of genital yeast infections and UTIs. Rare but serious risk of diabetic ketoacidosis (even with normal blood sugar). Rare risk of Fournier's gangrene (severe genital infection). Monitor for dehydration."
"Dulaglutide (Trulicity)","Type 2 Diabetes, Cardiovascular Risk Reduction",0.75 mg or 1.5 mg injected subcutaneously once weekly,"Nausea, vomiting, diarrhea, abdominal pain, decreased appetite; rare pancreatitis, thyroid C-cell tumors","None significant generally noted; may affect absorption of oral medications due to slowed gastric emptying","Boxed warning for risk of thyroid C-cell tumors (seen in animal studies; unknown risk in humans). Not for patients with a history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia syndrome type 2."
"Insulin (Lantus, Novolog, Humalog)","Type 2 Diabetes (when oral medications are insufficient)",Highly individualized dosage based on blood glucose levels and type of insulin,"Hypoglycemia, weight gain, injection site reactions, allergic reactions","Certain diabetes medications, alcohol, certain blood pressure medications, sulfa-containing drugs","Risk of hypoglycemia; educate patients on recognizing and treating low blood sugar. Requires careful monitoring of blood glucose. Store properly. Administer correctly via injection."
"Pseudoephedrine (Sudafed)","Nasal Congestion",30-60 mg every 4-6 hours as needed; Extended-release forms available,"Increased heart rate, elevated blood pressure, nervousness, difficulty sleeping","MAO inhibitors, certain blood pressure medications, stimulants","May increase blood pressure/heart rate; Use with caution in individuals with heart conditions, high blood pressure, thyroid problems, or difficulty urinating. Not for children under 4."
"Phenylephrine (Sudafed PE)","Nasal Congestion",10 mg every 4 hours as needed,"Similar to pseudoephedrine, but generally less potent effect on heart rate/BP","MAO inhibitors, certain blood pressure medications","Similar warnings to pseudoephedrine, though potentially milder."
"Dextromethorphan (Robitussin, Mucinex DM)","Cough",10-30 mg every 4-8 hours as needed,"Dizziness, drowsiness, nausea, vomiting","Certain antidepressants (SSRIs, MAOIs), other cough/cold medications","Do not use for chronic cough without medical advice. Can cause dizziness/drowsiness. Avoid alcohol. Overuse can be dangerous."
"Guaifenesin (Mucinex, Robitussin Chest Congestion)","Chest Congestion (helps loosen mucus)",200-400 mg every 4 hours as needed (max 2400 mg/day),"Nausea, vomiting, dizziness, headache","None significant generally noted","Drink plenty of fluids to help the medication work effectively."
