"Symptom","Possible_Conditions","Severity","Related_Symptoms","Urgency","Notes"
"itching","Fungal infection,Chronic cholestasis,Drug Reaction,Jaundice,Hepatitis B,Chicken pox","Mild","skin_rash,nodal_skin_eruptions,dischromic_patches","Low","Severity and urgency inferred from symptom type. Often skin-related."
"skin_rash","Fungal infection,Drug Reaction,Chicken pox,Dengue,Acne,Psoriasis,Impetigo","Mild","itching,high_fever,fatigue","Low","Severity and urgency inferred from symptom type. Note if spreading."
"nodal_skin_eruptions","Fungal infection","Mild","itching,skin_rash,dischromic_patches","Low","Severity and urgency inferred from symptom type. Specific to fungal infections."
"dischromic_patches","Fungal infection","Mild","itching,skin_rash,nodal_skin_eruptions","Low","Severity and urgency inferred from symptom type. Skin discoloration."
"continuous_sneezing","Allergy,Common Cold","Mild","chills,shivering,watering_from_eyes","Low","Severity and urgency inferred from symptom type. Common in allergies."
"shivering","Allergy","Mild","continuous_sneezing,chills,watering_from_eyes","Low","Severity and urgency inferred from symptom type. Often allergy-related."
"chills","Allergy,Malaria,Dengue,Typhoid,Tuberculosis,Common Cold,Pneumonia","Moderate","high_fever,vomiting,fatigue","Medium","Severity and urgency inferred from symptom type. Monitor for fever."
"watering_from_eyes","Allergy","Mild","continuous_sneezing,shivering,chills","Low","Severity and urgency inferred from symptom type. Typical in allergies."
"stomach_pain","GERD,Drug Reaction","Moderate","acidity,vomiting,chest_pain","Medium","Severity and urgency inferred from symptom type. Note pain location."
"acidity","GERD,Migraine","Moderate","stomach_pain,vomiting,headache","Medium","Severity and urgency inferred from symptom type. Often gastrointestinal."
"ulcers_on_tongue","GERD","Moderate","stomach_pain,acidity,vomiting","Medium","Severity and urgency inferred from symptom type. Painful sores."
"vomiting","GERD,Chronic cholestasis,Peptic ulcer disease,Gastroenteritis,Heart attack,Paralysis (brain hemorrhage),Jaundice,Malaria,Dengue,Typhoid,hepatitis A,Hepatitis D,Hepatitis E,Alcoholic hepatitis,Tuberculosis,(vertigo) Paroxysmal Positional Vertigo,Hypoglycemia","Varies","nausea,abdominal_pain,fatigue","High","Severity and urgency inferred from symptom type. Risk of dehydration."
"cough","GERD,Bronchial Asthma,Tuberculosis,Common Cold,Pneumonia","Moderate","high_fever,chest_pain,fatigue","Medium","Severity and urgency inferred from symptom type. Monitor duration (>2 weeks)."
"chest_pain","GERD,Hypertension,Heart attack,Tuberculosis,Common Cold,Pneumonia","Severe","breathlessness,sweating,vomiting","Emergency","Severity and urgency inferred from symptom type. Rule out cardiac causes."
"yellowish_skin","Chronic cholestasis,Jaundice,hepatitis A,Hepatitis B,Hepatitis D,Hepatitis E,Alcoholic hepatitis,Hepatitis C","Severe","abdominal_pain,vomiting,nausea","High","Severity and urgency inferred from symptom type. Indicates liver issues."
"nausea","Chronic cholestasis,Malaria,Dengue,Typhoid,hepatitis A,Hepatitis D,Hepatitis E,Hypoglycemia,(vertigo) Paroxysmal Positional Vertigo,Hepatitis C","Varies","vomiting,abdominal_pain,loss_of_appetite","High","Severity and urgency inferred from symptom type. Often gastrointestinal."
"loss_of_appetite","Chronic cholestasis,Peptic ulcer disease,Chicken pox,Dengue,Tuberculosis,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E","Moderate","vomiting,abdominal_pain,fatigue","Medium","Severity and urgency inferred from symptom type. Note if prolonged."
"abdominal_pain","Chronic cholestasis,Peptic ulcer disease,Jaundice,Typhoid,hepatitis A,Hepatitis B,Hepatitis D,Hepatitis E,Alcoholic hepatitis","Varies","vomiting,nausea,loss_of_appetite","High","Severity and urgency inferred from symptom type. Pain location matters."
"yellowing_of_eyes","Chronic cholestasis,Tuberculosis,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,hepatitis A","Severe","yellowish_skin,abdominal_pain,loss_of_appetite","High","Severity and urgency inferred from symptom type. Indicates liver issues."
"burning_micturition","Drug Reaction,Urinary tract infection","Moderate","spotting_urination,stomach_pain,skin_rash","Medium","Severity and urgency inferred from symptom type. Urinary discomfort."
"spotting_urination","Drug Reaction","Moderate","burning_micturition,stomach_pain,skin_rash","Medium","Severity and urgency inferred from symptom type. Possible infection."
"indigestion","Peptic ulcer disease,Migraine","Moderate","vomiting,abdominal_pain,loss_of_appetite","Medium","Severity and urgency inferred from symptom type. Gastrointestinal issue."
"passage_of_gases","Peptic ulcer disease","Mild","vomiting,indigestion,abdominal_pain","Low","Severity and urgency inferred from symptom type. Common digestive issue."
"internal_itching","Peptic ulcer disease","Moderate","vomiting,indigestion,abdominal_pain","Medium","Severity and urgency inferred from symptom type. May indicate ulcers."
"muscle_wasting","AIDS","Severe","patches_in_throat,high_fever,extra_marital_contacts","High","Severity and urgency inferred from symptom type. Indicates severe condition."
"patches_in_throat","AIDS","Moderate","muscle_wasting,high_fever,extra_marital_contacts","Medium","Severity and urgency inferred from symptom type. Specific to AIDS."
"high_fever","AIDS,Bronchial Asthma,Jaundice,Malaria,Chicken pox,Dengue,Typhoid,Hepatitis E,Tuberculosis,Common Cold,Pneumonia,Impetigo","Moderate","chills,fatigue,cough","Medium","Severity and urgency inferred from symptom type. Monitor duration."
"extra_marital_contacts","AIDS","Varies","muscle_wasting,patches_in_throat,high_fever","Varies","Severity and urgency inferred from symptom type. Risk factor for AIDS."
"fatigue","Diabetes,Jaundice,Chicken pox,Dengue,Typhoid,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,Tuberculosis,Common Cold,Pneumonia,Varicose veins,Hypothyroidism,Hyperthyroidism,Hypoglycemia,Bronchial Asthma","Moderate","high_fever,vomiting,weight_loss","Medium","Severity and urgency inferred from symptom type. Chronic if >2 weeks."
"weight_loss","Diabetes,Jaundice,Tuberculosis,Hyperthyroidism","Moderate","fatigue,high_fever,loss_of_appetite","Medium","Severity and urgency inferred from symptom type. Note if unintentional."
"restlessness","Diabetes,Hyperthyroidism","Moderate","fatigue,weight_loss,lethargy","Medium","Severity and urgency inferred from symptom type. May indicate metabolic issues."
"lethargy","Diabetes,Chicken pox,Hepatitis B,Hypothyroidism","Moderate","fatigue,weight_loss,high_fever","Medium","Severity and urgency inferred from symptom type. Persistent tiredness."
"irregular_sugar_level","Diabetes","Severe","fatigue,weight_loss,blurred_and_distorted_vision","High","Severity and urgency inferred from symptom type. Monitor blood sugar."
"blurred_and_distorted_vision","Diabetes,Migraine,Hypoglycemia","Severe","fatigue,headache,excessive_hunger","High","Severity and urgency inferred from symptom type. Vision changes need evaluation."
"obesity","Diabetes,Varicose veins","Moderate","fatigue,weight_loss,swollen_legs","Medium","Severity and urgency inferred from symptom type. Risk factor for complications."
"excessive_hunger","Diabetes,Migraine,Hyperthyroidism,Hypoglycemia","Moderate","fatigue,weight_loss,headache","Medium","Severity and urgency inferred from symptom type. May indicate metabolic issues."
"increased_appetite","Diabetes","Moderate","fatigue,weight_loss,excessive_hunger","Medium","Severity and urgency inferred from symptom type. Common in diabetes."
"polyuria","Diabetes","Moderate","fatigue,weight_loss,excessive_hunger","Medium","Severity and urgency inferred from symptom type. Increased urination."
"sunken_eyes","Gastroenteritis","Severe","vomiting,dehydration,diarrhoea","High","Severity and urgency inferred from symptom type. Indicates dehydration."
"dehydration","Gastroenteritis","Severe","vomiting,sunken_eyes,diarrhoea","High","Severity and urgency inferred from symptom type. Requires fluid replacement."
"diarrhoea","Gastroenteritis,Malaria,Typhoid,hepatitis A,Hyperthyroidism","High","vomiting,nausea,abdominal_pain","High","Severity and urgency inferred from symptom type. Risk of dehydration."
"breathlessness","Bronchial Asthma,Heart attack,Tuberculosis,Pneumonia","Severe","chest_pain,high_fever,cough","Emergency","Severity and urgency inferred from symptom type. Needs immediate care."
"family_history","Bronchial Asthma,Hepatitis C","Varies","fatigue,cough,high_fever","Varies","Severity and urgency inferred from symptom type. Genetic risk factor."
"mucoid_sputum","Bronchial Asthma","Moderate","cough,high_fever,breathlessness","Medium","Severity and urgency inferred from symptom type. Respiratory symptom."
"headache","Hypertension,Migraine,Paralysis (brain hemorrhage),Malaria,Chicken pox,Dengue,Typhoid,Common Cold,(vertigo) Paroxysmal Positional Vertigo,Hypoglycemia","Moderate","nausea,vomiting,high_fever","Medium","Severity and urgency inferred from symptom type. Note if persistent."
"dizziness","Hypertension,Cervical spondylosis,Hypothyroidism","Moderate","headache,chest_pain,loss_of_balance","Medium","Severity and urgency inferred from symptom type. Balance issues."
"loss_of_balance","Hypertension,Cervical spondylosis,(vertigo) Paroxysmal Positional Vertigo","Severe","dizziness,headache,neck_pain","High","Severity and urgency inferred from symptom type. Risk of falls."
"lack_of_concentration","Hypertension","Moderate","headache,chest_pain,dizziness","Medium","Severity and urgency inferred from symptom type. Cognitive symptom."
"stiff_neck","Migraine,Arthritis","Moderate","headache,blurred_and_distorted_vision,swelling_joints","Medium","Severity and urgency inferred from symptom type. Neck stiffness."
"depression","Migraine,Hypothyroidism","Moderate","fatigue,irritability,mood_swings","Medium","Severity and urgency inferred from symptom type. Mental health concern."
"irritability","Migraine,Hypothyroidism,Hyperthyroidism,Hypoglycemia","Moderate","fatigue,mood_swings,headache","Medium","Severity and urgency inferred from symptom type. Mood changes."
"visual_disturbances","Migraine","Severe","headache,blurred_and_distorted_vision,excessive_hunger","High","Severity and urgency inferred from symptom type. Vision changes."
